BRL;CHF;1.00000000
GBP;NZD;1.00000000
CNY;CAD;1.00000000
ARS;TWD;1.00000000
MXN;USD;1.00000000
NZD;GBX;1.00000000
KRW;CAD;1.00000000
GBX;NZD;1.00000000
NOK;NZD;1.00000000
MXN;NZD;1.00000000
SGD;ARS;1.00000000
CHF;AUD;1.00000000
JPY;SGD;1.00000000
AUD;SGD;1.00000000
CHF;TWD;1.00000000
SGD;KRW;1.00000000
NOK;CNY;1.00000000
CNY;TWD;1.00000000
CHF;HKD;1.00000000
NOK;KRW;1.00000000
BRL;CAD;1.00000000
CHF;CAD;1.00000000
CAD;BRL;1.00000000
SGD;MXN;1.00000000
MXN;BRL;1.00000000
SEK;TWD;1.00000000
MXN;TWD;1.00000000
USD;GBP;1.00000000
MXN;AUD;1.00000000
DKK;SGD;1.00000000
USD;GBX;1.00000000
SEK;AUD;1.00000000
SEK;INR;1.00000000
SEK;DKK;1.00000000
GBP;JPY;1.00000000
SGD;GBP;1.00000000
TWD;SEK;1.00000000
CAD;JPY;1.00000000
KRW;SEK;1.00000000
GBX;CNY;1.00000000
DKK;NOK;1.00000000
BRL;KRW;1.00000000
KRW;CHF;1.00000000
ARS;AUD;1.00000000
GBP;BRL;1.00000000
BRL;SEK;1.00000000
NOK;JPY;1.00000000
EUR;AUD;1.00000000
CHF;ARS;1.00000000
SEK;CNY;1.00000000
CNY;AUD;1.00000000
CAD;NOK;1.00000000
AUD;JPY;1.00000000
MXN;JPY;1.00000000
INR;SEK;1.00000000
AUD;CHF;1.00000000
HKD;CNY;1.00000000
DKK;INR;1.00000000
GBX;CAD;1.00000000
HKD;TWD;1.00000000
GBP;KRW;1.00000000
EUR;NZD;1.00000000
KRW;USD;1.00000000
CNY;GBP;1.00000000
INR;CNY;1.00000000
CNY;GBX;1.00000000
KRW;NOK;1.00000000
BRL;MXN;1.00000000
NZD;BRL;1.00000000
SEK;CAD;1.00000000
HKD;DKK;1.00000000
GBX;EUR;1.00000000
CHF;SEK;1.00000000
JPY;BRL;1.00000000
GBP;USD;1.00000000
HKD;INR;1.00000000
NZD;JPY;1.00000000
SEK;NOK;1.00000000
JPY;TWD;1.00000000
AUD;ARS;1.00000000
